GameRulesetName,Id
Verquere,1252
XII_ScriptaMurray_Suggested,33
Yahoudieh,1063
Agon,1764
Aralzaa,1034
BajrBajr_Small_Observed,1036
BajrBajr_Medium_Observed,1037
BajrBajr_Large_Observed,1038
Barca,1778
Camelot,416
Cascades,1800
Chinese_Checkers,71
Conspirateurs,441
Gadis,2032
Grasshopper,402
Halma,72
Lelac,1794
O-Pat-Kono,386
Salta,417
Shanzak_Kammar,1202
Suffragetto,1188
Tablan,761
Tandems,1821
Aime,1484
Archimedes,1797
Arimaa,43
Ashere,1483
Bison,1106
Bombardment,1802
Breakthrough,73
Center,1930
Chong_Sakhalin,1972
Chonpa,896
EinStein_Wurfelt_Nicht,472
Es-SigEs-Sig_Described,1789
Football_Chess,1793
Gauntlet,1021
GavalataGavalata_Observed,977
Geister,1650
Gyan_Chaupar,78
IshighanIshighan_Described,1169
Jeson_Mor,1035
Jungle,392
KawasukutsKawasukuts_Observed,834
KawasukutsDoor_Hazard_Observed,835
Kings_Valley,1160
Knightthrough,74
Lib_el-MerafibLib_el-Merafib_Described,179
Main_PachehMain_Pacheh_Described,873
Murus_GallicusMurus_Galicus_Described,1647
Murus_GallicusAdvanced_Murus_Galicus_Described,1648
NebakuthanaNebakuthana_Observed,823
OwasokotzOwasokotz_Pass_Observed,836
OwasokotzOwasokotz_Enter_Observed,837
ParadisParadis_Observed,1197
Pasit,863
PatolPatol_Observed,830
PatolCaptureless_Observed,832
Pente_GrammaiLocos_Ludi_Race_Scholarly,785
Pente_GrammaiLocus_Ludi_Knock-Off_Mode_Scholarly,786
Pylos,1542
Quoridor,1539
Reach_Chess,1769
Santorini,639
SaturankamSaturankam_Described,197
Set_DilthSet_Dilth_Described,840
SetichchSetichch_Described,839
Shing_Quon_TuShing_Quon_Tu_Described,180
Sig_El_OuedSig_El_Oued_Observed,1577
Sig_wa_Duqqan_Houmt_al-ArbahSig_Houmt_al-Arbah_Described,808
Sig_wa_Duqqan_Houmt_TaouritSig_wa_Duqqan_Houmt_Taourit_Described,809
Siga_Sri_Lanka,745
SikSik_Observed,1189
Siryu_RaceSiryu_Race_Described,810
Sneakthrough,75
Squadro,1543
TammanTamman_Described,199
TasholiweTasholiwe_Observed,848
The_Pawn_Game,2023
